,product_name,product_review,user_rating
0,Kentucky Brunch Brand Stout,"'Smell: early morning pancakes and coffee before work that wakes you up', 'Taste: liquifies buttery maple pancakes and hot coffee with some snake bite in it.', 'Feel: Like that Scene in there will be blood when the oil explodes everywhere. Tar.', 'Overall: Magnificent worth its weight in gold'",5
1,Kentucky Brunch Brand Stout,"""2019 vintage. Pours a very dark brown color with noticeable sugars coating the glass. Lots of coffee and maple in the nose, not much barrel or heat at all. Very rich and coating mouthfeel with a lot of layers in the flavor. Coffee, espresso, maple, vanilla are in good balance. Not much bourbon or oak if at all noticeable. Really great beer as it's very hard to pull off this many flavors and layers without a dominant flavor. Just missed it a little with not much bourbon or barrel presence aside from the vanilla notes.""",4.53
2,Kentucky Brunch Brand Stout,"""It's hyped... There is a lot of breweries doing this style of beer right. For this to be the top rated is kinda nuts... Over rated, over hyped, over priced. I found a lot of other local beers doing it and for much less tbh. I gave it a 1 for overall because it's not worth msrp of $100 whatsoever. The beer that my friends and I brewed is more balanced than this."", '', ""It's good... Just not msrp $100 and drive to middle of nowhere good.""",1.49
3,Kentucky Brunch Brand Stout,"""Reviewing 2019 vintage. This pours thick and close to black with unsurprisingly poor head retention (that being said, I drank this out of a taster glass). Does not stop the nose from jumping out of the glass. Huge coffee and maple, as advertised, masking any potential aroma from the barrel. That trend continues into the taste - difficult to find the barrel even when looking intently for it. The coffee is very pleasant and plays well with the maple, which presents authentically and not as a general sweetness. Thick, smooth mouthfeel (again, no surprises here). Overall, this would receiving a rating bump if it wasn't meant to be a barrel aged beer. In that respect, it falls short, as the adjuncts and texture are the real star of the show here. Very cool to try, but not worth the price of admission these days.""",4.52
4,Kentucky Brunch Brand Stout,"""2018 version. Poured dark with a small head. Smell was maple coffee with a hint of bourbon. Very smooth drinking and taste was wow - chocolate, coffee, maple, and a touch of sweetness. One of the best beers I've ever tried.""",4.99
5,Kentucky Brunch Brand Stout,"'A (very expensive) draft pour at TG on release day Dec. 7, 2019.', '', 'Look: Not as dark as I expected with a very thin brownish-tan head. Sticks to the glass briefly.', '', 'Smell: Lots of phenomenal coffee hit me at first. Much stronger that Mornin Delight. The barrel was there along with dark chocolate.', '', 'Taste: The coffee and maple match perfectly. There is some vanilla as it warmed and the barrel was more present. Really delicious', '', 'Feel: The carbonation was great. It was unbelievably smooth and lingered with each sip.', '', 'Overall: Easily the best beer I’ve had from TG. So complex and drinkable with everything I wanted in a beer. So many stouts with maple but none of them mix flavors like this. Definitely a world class beer.', 'M'",4.99
6,Kentucky Brunch Brand Stout,"'2016 Silver Wax. Aroma has whiskey, maple, toffee and umami. Taste has wood barrel, umami, dark fruit, maple and toffee. Bitter cacao and coffee aftertaste.'",4.8
7,Kentucky Brunch Brand Stout,"'The beer pours Pitch Black with a frothy tan head. The bottle gushed when I opened it. It smells and tastes of maple syrup, coffee, creams brûlée, vanilla, and warm bourbon. The feel is slick and smooth.'",4.74
8,Kentucky Brunch Brand Stout,"""Probably the smoothest beer I have ever had. Smelled better than it tasted. Lots of notes on the nose from vanilla to caramel/Maple to figs, but the taste didn't follow suit and it mostly being Maple supported by the others notes on the nose and barrel. No discernible alcohol present but the bourbon flavor was there from start to finish. Carbonation was lacking and would have helped the beer. Overall this was an excellent beer on par with Mexican Cake Reserva.""",4.68
9,Kentucky Brunch Brand Stout,"'Dark black, very thick, a little bit of tan head. Smells amazing - coffee and a little bit of maple jump out at you, along with chocolate and vanilla and other sweet smells. The taste is no letdown either, coffee is more up front, and maple is on the back end, with a lot of caramel / chocolate / dark fruit in the middle. Super thick mouthfeel with zero alcohol burn.', '', ""I was fully prepared to be disappointed by this beer - not that I expected it to be bad, but just that it might not blow me away. I was wrong. Probably the best beer I've ever had.""",5
