,0
head,3522
beer,2821
taste,2755
like,1755
sweet,1749
nose,1728
pours,1717
dark,1701
finish,1625
carbonation,1617
chocolate,1570
medium,1564
aroma,1551
overall,1511
nice,1484
mouthfeel,1478
body,1449
lacing,1442
good,1440
light,1422
bottle,1381
just,1379
black,1375
white,1366
smooth,1302
notes,1298
flavor,1278
vanilla,1264
orange,1242
great,1214
glass,1209
bourbon,1209
bit,1206
poured,1192
feel,1187
fruit,1182
really,1158
color,1135
little,1135
flavors,1109
smell,1109
coffee,1075
brown,1032
citrus,1015
bitterness,1002
barrel,976
creamy,926
dry,905
oak,902
hazy,892
malt,875
sweetness,863
caramel,787
stout,782
balanced,761
big,747
bitter,745
alcohol,740
bodied,701
best,701
ve,698
finger,697
rich,683
slightly,664
grapefruit,661
pour,661
tropical,633
hop,632
smells,632
hops,630
abv,621
palate,618
quite,613
retention,594
ipa,581
balance,565
mango,564
hint,561
sour,557
pineapple,554
mouth,553
juicy,552
complex,547
soft,539
tart,534
drink,533
slight,529
yellow,526
beers,523
time,519
way,518
quickly,517
fresh,516
pretty,511
strong,508
funk,507
touch,506
tan,506
moderate,501
aromas,500
golden,498
look,497
super,490
definitely,488
pine,481
excellent,480
appearance,478
deep,476
lots,473
better,471
heavy,469
fruity,467
fruits,460
amazing,458
perfect,456
style,453
sticky,453
mild,448
juice,445
end,442
foam,440
maple,430
delicious,429
try,429
roasted,428
lemon,428
peach,427
sugar,427
wine,426
malts,425
boozy,416
lot,415
vintage,412
small,412
huge,406
follows,399
long,398
high,397
snifter,395
brew,394
tastes,391
dank,390
think,384
coconut,382
earthy,376
opaque,371
bright,371
ring,369
aged,369
low,368
molasses,363
easy,357
right,356
character,353
love,352
booze,352
oz,348
drinking,346
toffee,345
solid,343
heat,342
tongue,340
cocoa,339
subtle,336
maybe,333
12,333
cinnamon,333
fantastic,331
base,331
tulip,328
drinkable,327
red,324
leaves,324
beautiful,324
minimal,322
sip,320
comes,320
2018,312
lingering,312
10,312
don,310
expected,306
milk,305
canned,303
complexity,302
roast,301
floral,301
clear,300
old,300
finishes,300
doesn,298
stouts,297
sure,294
got,292
worth,292
hints,292
profile,289
crisp,284
hype,283
16,282
2017,282
presence,281
does,280
world,279
20,279
fairly,278
tangerine,276
forward,274
aftertaste,272
funky,271
half,269
favorite,267
looks,267
warms,266
note,266
syrup,266
apricot,266
brewery,266
pale,265
roasty,262
clean,262
colored,260
thanks,259
absolutely,258
cloudy,257
drank,257
tartness,256
gold,255
tasty,252
cherry,251
tap,250
nicely,249
19,249
2019,248
mocha,247
come,247
green,246
present,246
years,246
hoppy,245
say,242
makes,242
tons,241
going,239
lace,239
batch,236
enjoyable,236
incredible,236
2016,235
honey,234
fluffy,232
followed,228
amber,228
looking,228
similar,227
bubbles,225
perfectly,225
wow,224
date,224
imperial,224
spice,223
probably,222
cap,221
outstanding,221
acidity,220
wood,219
ba,219
ale,218
class,218
pitch,218
day,216
decent,214
intense,214
lightly,213
overly,213
spicy,213
bite,212
herbal,212
awesome,211
level,211
silky,211
oily,211
blend,208
toasted,208
chewy,208
cream,206
pleasant,206
lingers,205
thing,205
acidic,205
fudge,204
wonderful,203
18,203
burn,203
carb,202
house,202
frothy,201
away,201
warming,200
foamy,200
malty,200
make,199
leaving,198
isn,197
faint,196
dense,196
extremely,196
new,195
bottled,195
refreshing,194
didn,194
want,194
version,193
apple,193
glad,192
point,191
experience,190
quality,190
know,189
pepper,189
hard,189
did,189
tree,187
yeast,187
year,186
fingers,186
burnt,186
piney,186
tasting,185
melon,185
11,183
ripe,183
tasted,183
fades,183
hot,182
grape,182
getting,181
tried,181
review,181
plenty,180
far,179
pint,179
semi,179
served,179
trillium,178
carbonated,178
enjoyed,178
raspberry,177
brings,177
inch,177
somewhat,177
incredibly,176
bomb,176
viscous,176
sourness,176
double,174
coming,173
khaki,172
ipas,172
enjoy,171
murky,170
middle,170
17,169
rind,169
cherries,169
syrupy,168
fine,168
dissipates,167
texture,167
haze,167
mix,167
raisin,167
nearly,166
licorice,166
char,166
dipa,166
raisins,163
finally,163
zest,163
stuff,162
left,162
ll,162
papaya,162
highly,161
stone,159
grass,159
certainly,158
different,157
slowly,157
real,157
bold,156
slick,156
background,155
adds,154
actually,154
warm,153
hidden,152
near,152
settles,152
lighter,151
straw,151
grassy,151
depth,150
tobacco,150
damn,150
oil,148
kind,147
candy,146
goes,144
sharp,144
liquid,144
teku,143
velvety,142
surprisingly,142
interesting,141
2015,140
warmth,140
leather,140
cloying,139
gets,138
wish,138
release,138
truly,137
bread,137
short,135
especially,135
oaky,135
drinks,135
resin,134
espresso,134
bad,134
jet,133
woody,133
15,133
pink,132
fizzy,132
lime,132
ruby,132
unique,132
25,131
16oz,131
collar,131
easily,131
hay,130
age,130
ml,130
2020,129
close,129
feels,129
peel,128
large,128
expect,128
classic,127
despite,127
regular,127
draft,126
things,126
wasn,125
days,125
citrusy,124
dated,124
dried,124
hit,124
lovely,124
wet,123
price,123
aging,122
ton,122
impressive,122
given,121
loads,121
upfront,121
charred,121
wheat,121
coating,121
moderately,121
hits,120
rating,120
typical,120
let,120
citra,120
whiskey,119
ago,119
13,118
flavorful,118
neipa,118
bready,118
wild,118
prominent,117
candied,117
backbone,117
start,116
prefer,116
noticeable,116
decadent,116
straight,116
completely,116
edge,115
having,115
hue,115
starts,115
delicate,114
plus,114
plum,114
bubbly,114
cellar,113
resinous,113
average,113
guava,113
lambic,113
barrels,113
750ml,113
barnyard,113
initial,113
able,113
2014,113
layer,112
thought,112
mellow,111
12oz,111
share,111
hill,111
nutty,111
picked,109
linger,109
second,109
fan,109
mixed,109
said,108
type,108
recedes,108
